City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.09,67,48,13.07,TF,1698084429
1,tuam,53.5167,-8.85,11.24,95,100,5.39,IE,1698084563
2,ilulissat,69.2167,-51.1,-2.99,74,75,2.06,GL,1698084326
3,hermanus,-34.4187,19.2345,15.57,87,3,6.73,ZA,1698084276
4,shambu,9.5667,37.1,11.79,87,97,0.41,ET,1698084564
5,cam ranh,11.9214,109.1591,24.98,94,20,3.09,VN,1698084565
6,iqaluit,63.7506,-68.5145,-0.17,79,100,8.94,CA,1698084456
7,linshui,36.4247,114.2047,17.61,42,0,2.07,CN,1698084566
8,al khums,32.6486,14.2619,27.26,62,0,1.9,LY,1698084567
9,esmeralda,21.8525,-78.1169,29.67,57,89,5.73,CU,1698084568
10,yellowknife,62.456,-114.3525,-4.21,96,100,8.05,CA,1698084501
11,puerto ayora,-0.7393,-90.3518,30.98,87,84,4.92,EC,1698084440
12,tiksi,71.6872,128.8694,-12.48,95,99,3.04,RU,1698084477
13,albany,42.6001,-73.9662,13.43,60,63,1.34,US,1698084427
14,sinabang,2.4803,96.3801,25.21,89,100,1.98,ID,1698084430
15,villa gesell,-37.2639,-56.973,15.15,89,98,8.73,AR,1698084572
16,fort bragg,35.139,-79.006,20.36,39,0,2.57,US,1698084572
17,grytviken,-54.2811,-36.5092,-3.65,60,21,5.82,GS,1698084430
18,edinburgh of the seven seas,-37.0676,-12.3116,13.09,76,15,4.76,SH,1698084432
19,invercargill,-46.4,168.35,10.01,88,100,0.89,NZ,1698084503
20,brookings,44.3114,-96.7984,17.43,55,0,3.6,US,1698084408
21,whistler,50.1164,-122.9695,8.09,88,92,2.53,CA,1698084575
22,rudsar,37.1376,50.288,19.2,86,59,1.53,IR,1698084576
23,ocean shores,46.9737,-124.1563,13.34,71,100,5.66,US,1698084360
24,uturoa,-16.7333,-151.4333,26.46,82,55,5.58,PF,1698084444
25,blackmans bay,-43.0167,147.3167,9.18,93,100,2.55,AU,1698084439
26,west island,-12.1568,96.8225,24.99,83,40,4.12,CC,1698084428
27,korkut,38.7391,41.7822,13.65,59,39,0.64,TR,1698084579
28,santa cruz,-17.8,-63.1667,39.03,27,18,10.29,BO,1698084508
29,zhezqazghan,47.7833,67.7667,3.46,43,99,2.5,KZ,1698084580
30,margaret river,-33.95,115.0667,8.56,78,14,4.6,AU,1698084464
31,olonkinbyen,70.9221,-8.7187,3.28,89,100,4.74,SJ,1698084531
32,ribeira grande,38.5167,-28.7,21.22,83,75,8.23,PT,1698084463
33,whitehorse,60.7161,-135.0538,-8.99,63,88,4.47,CA,1698084519
34,ushuaia,-54.8,-68.3,13.38,56,59,2.45,AR,1698084213
35,bethel,41.3712,-73.414,16.66,59,0,4.63,US,1698084467
36,fortuna,40.5982,-124.1573,15.52,93,100,4.63,US,1698084541
37,iskateley,67.6803,53.1512,-5.85,86,69,3.89,RU,1698084457
38,basco,20.4487,121.9702,27.02,80,92,9.09,PH,1698084584
39,adamstown,-25.066,-130.1015,22.68,79,100,4.32,PN,1698084421
